Asset,Horizon,Model,CrossDate,FirstViol,LeadDays,VIX_at_cross
treasury,1w,LGB_VIX,2021-12-09,2021-11-24,15,21.6
treasury,1w,LGB_VIX,2021-12-13,2021-11-24,19,20.3
treasury,1w,LGB_VIX,2021-12-16,2021-11-24,22,20.6
treasury,1w,LGB_VIX,2022-02-10,2022-02-18,-8,23.9
treasury,1w,LGB_VIX,2022-08-11,2022-07-20,22,20.2
treasury,1w,LGB_VIX,2022-08-19,2022-07-20,30,20.6
treasury,1w,LGB_VIX,2022-12-05,2022-11-07,28,20.8
treasury,1w,LGB_VIX,2023-03-09,2023-03-06,3,22.6
treasury,1w,LGB_VIX,2024-08-02,2024-07-25,8,23.4
treasury,1w,LGB_CASSI,2011-03-01,2011-03-08,-7,21.0
treasury,1w,LGB_CASSI,2011-03-07,2011-03-08,-1,20.7
treasury,1w,LGB_CASSI,2011-03-09,2011-03-08,1,20.2
treasury,1w,LGB_CASSI,2011-06-15,2011-05-23,23,21.3
treasury,1w,LGB_CASSI,2011-06-24,2011-06-30,-6,21.1
treasury,1w,LGB_CASSI,2011-07-14,2011-06-30,14,20.8
treasury,1w,LGB_CASSI,2011-07-18,2011-06-30,18,21.0
treasury,1w,LGB_CASSI,2011-07-26,2011-06-30,26,20.2
treasury,1w,LGB_CASSI,2012-02-10,2012-01-23,18,20.8
treasury,1w,LGB_CASSI,2012-02-15,2012-01-23,23,21.1
treasury,1w,LGB_CASSI,2012-04-10,2012-03-20,21,20.4
treasury,1w,LGB_CASSI,2012-05-09,2012-05-10,-1,20.1
treasury,1w,LGB_CASSI,2012-05-14,2012-05-10,4,21.9
treasury,1w,LGB_CASSI,2012-06-21,2012-05-22,30,20.1
treasury,1w,LGB_CASSI,2013-10-08,2013-09-11,27,20.3
treasury,1w,LGB_CASSI,2014-02-03,2014-01-22,12,21.4
treasury,1w,LGB_CASSI,2014-10-10,2014-09-24,16,21.2
treasury,1w,LGB_CASSI,2014-12-11,2014-11-19,22,20.1
treasury,1w,LGB_CASSI,2015-01-06,2014-12-08,29,21.1
treasury,1w,LGB_CASSI,2015-01-13,2014-12-23,21,20.6
treasury,1w,LGB_CASSI,2015-01-28,2014-12-29,30,20.4
treasury,1w,LGB_CASSI,2015-01-30,2014-12-31,30,21.0
treasury,1w,LGB_CASSI,2016-01-04,2016-01-11,-7,20.7
treasury,1w,LGB_CASSI,2016-01-06,2016-01-11,-5,20.6
treasury,1w,LGB_CASSI,2016-02-02,2016-01-11,22,22.0
treasury,1w,LGB_CASSI,2016-02-23,2016-02-01,22,21.0
treasury,1w,LGB_CASSI,2016-02-29,2016-02-01,28,20.5
treasury,1w,LGB_CASSI,2016-06-13,2016-05-25,19,21.0
treasury,1w,LGB_CASSI,2016-06-22,2016-05-25,28,21.2
treasury,1w,LGB_CASSI,2016-06-24,2016-05-25,30,25.8
treasury,1w,LGB_CASSI,2018-10-10,2018-10-19,-9,23.0
treasury,1w,LGB_CASSI,2018-10-18,2018-10-19,-1,20.1
treasury,1w,LGB_CASSI,2018-10-23,2018-10-19,4,20.7
treasury,1w,LGB_CASSI,2018-11-12,2018-10-19,24,20.5
treasury,1w,LGB_CASSI,2018-11-19,2018-11-27,-8,20.1
treasury,1w,LGB_CASSI,2018-12-04,2018-11-27,7,20.7
treasury,1w,LGB_CASSI,2019-05-13,2019-04-17,26,20.5
treasury,1w,LGB_CASSI,2019-08-05,2019-07-25,11,24.6
treasury,1w,LGB_CASSI,2019-08-12,2019-07-25,18,21.1
treasury,1w,LGB_CASSI,2019-08-14,2019-07-25,20,22.1
treasury,1w,LGB_CASSI,2019-08-27,2019-07-29,29,20.3
treasury,1w,LGB_CASSI,2019-10-02,2019-09-13,19,20.6
treasury,1w,LGB_CASSI,2019-10-08,2019-09-13,25,20.3
treasury,1w,LGB_CASSI,2020-02-24,2020-02-12,12,25.0
treasury,1w,LGB_CASSI,2021-02-16,2021-01-20,27,21.5
treasury,1w,LGB_CASSI,2021-03-18,2021-03-18,0,21.6
treasury,1w,LGB_CASSI,2021-03-23,2021-03-18,5,20.3
treasury,1w,LGB_CASSI,2021-03-29,2021-03-18,11,20.7
treasury,1w,LGB_CASSI,2021-06-18,2021-06-03,15,20.7
treasury,1w,LGB_CASSI,2021-07-19,2021-06-25,24,22.5
treasury,1w,LGB_CASSI,2021-08-18,2021-08-12,6,21.6
treasury,1w,LGB_CASSI,2021-09-10,2021-08-12,29,21.0
treasury,1w,LGB_CASSI,2021-09-17,2021-09-03,14,20.8
treasury,1w,LGB_CASSI,2021-09-28,2021-09-03,25,23.2
treasury,1w,LGB_CASSI,2021-11-26,2021-11-02,24,28.6
treasury,1w,LGB_CASSI,2021-12-09,2021-11-24,15,21.6
treasury,1w,LGB_CASSI,2021-12-13,2021-11-24,19,20.3
treasury,1w,LGB_CASSI,2021-12-16,2021-11-24,22,20.6
treasury,1w,LGB_CASSI,2022-02-10,2022-02-18,-8,23.9
treasury,1w,LGB_CASSI,2022-08-11,2022-07-20,22,20.2
treasury,1w,LGB_CASSI,2022-08-19,2022-07-20,30,20.6
treasury,1w,LGB_CASSI,2022-12-05,2022-11-07,28,20.8
treasury,1w,LGB_CASSI,2023-03-09,2023-03-06,3,22.6
treasury,1w,LGB_CASSI,2024-08-02,2024-07-25,8,23.4
treasury,1m,LGB_VIX,2011-06-24,2011-06-29,-5,21.1
treasury,1m,LGB_VIX,2011-07-14,2011-06-29,15,20.8
treasury,1m,LGB_VIX,2011-07-18,2011-06-29,19,21.0
treasury,1m,LGB_VIX,2011-07-26,2011-06-29,27,20.2
treasury,1m,LGB_VIX,2012-04-10,2012-04-04,6,20.4
treasury,1m,LGB_VIX,2012-05-09,2012-04-17,22,20.1
treasury,1m,LGB_VIX,2012-05-14,2012-04-17,27,21.9
treasury,1m,LGB_VIX,2014-02-03,2014-01-06,28,21.4
treasury,1m,LGB_VIX,2014-10-10,2014-09-12,28,21.2
treasury,1m,LGB_VIX,2014-12-11,2014-12-02,9,20.1
treasury,1m,LGB_VIX,2015-01-06,2014-12-08,29,21.1
treasury,1m,LGB_VIX,2015-01-13,2014-12-19,25,20.6
treasury,1m,LGB_VIX,2015-01-28,2014-12-29,30,20.4
treasury,1m,LGB_VIX,2015-11-13,2015-11-09,4,20.1
treasury,1m,LGB_VIX,2015-12-18,2015-12-22,-4,20.7
treasury,1m,LGB_VIX,2016-01-04,2015-12-22,13,20.7
treasury,1m,LGB_VIX,2016-01-06,2015-12-22,15,20.6
treasury,1m,LGB_VIX,2016-02-02,2016-01-05,28,22.0
treasury,1m,LGB_VIX,2016-06-13,2016-05-24,20,21.0
treasury,1m,LGB_VIX,2016-06-22,2016-05-24,29,21.2
treasury,1m,LGB_VIX,2016-06-24,2016-05-25,30,25.8
treasury,1m,LGB_VIX,2018-10-23,2018-11-02,-10,20.7
treasury,1m,LGB_VIX,2018-11-12,2018-11-02,10,20.5
treasury,1m,LGB_VIX,2018-11-19,2018-11-02,17,20.1
treasury,1m,LGB_VIX,2018-12-04,2018-11-06,28,20.7
treasury,1m,LGB_VIX,2019-05-13,2019-04-25,18,20.5
treasury,1m,LGB_VIX,2019-08-05,2019-07-08,28,24.6
treasury,1m,LGB_VIX,2019-08-12,2019-07-15,28,21.1
treasury,1m,LGB_VIX,2019-08-14,2019-07-15,30,22.1
treasury,1m,LGB_VIX,2019-08-27,2019-07-29,29,20.3
treasury,1m,LGB_VIX,2020-02-24,2020-01-27,28,25.0
treasury,1m,LGB_VIX,2021-03-18,2021-03-18,0,21.6
treasury,1m,LGB_VIX,2021-03-23,2021-03-18,5,20.3
treasury,1m,LGB_VIX,2021-03-29,2021-03-18,11,20.7
treasury,1m,LGB_VIX,2021-05-11,2021-05-19,-8,21.8
treasury,1m,LGB_VIX,2021-05-18,2021-05-19,-1,21.3
treasury,1m,LGB_VIX,2021-06-18,2021-05-19,30,20.7
treasury,1m,LGB_VIX,2021-07-19,2021-06-23,26,22.5
treasury,1m,LGB_VIX,2022-12-05,2022-11-07,28,20.8
treasury,1m,LGB_VIX,2023-01-18,2022-12-23,26,20.3
treasury,1m,LGB_VIX,2023-02-09,2023-02-13,-4,20.7
